docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,none,none,no,0.0,0.0,,
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,"video games, consoles and accessories > product > object > entity",mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,electronic game > game > recreative work > creative work > intellectual work,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,electronic game > game > recreative work > creative work > work,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,electronic game > manifestation > artificial object > object > entity,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > creative work > intellectual work > work,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > creative work > intellectual work > intellectual property,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > creative work > work > artificial object,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > creative work > work > cultural artifact,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > written work > intellectual work > work,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > written work > intellectual work > intellectual property,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > written work > work > artificial object,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > written work > work > cultural artifact,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > means > contributing factor > condition,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > means > contributing factor > occurrent,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,entertainment software > software > product > object > entity,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > work > artificial object,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > work > cultural artifact,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > intellectual property > property,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > intellectual property > intangible asset,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > intellectual property > exclusive right,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > intellectual work > intellectual property > erga omnes,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > work > artificial object > object,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > work > cultural artifact > artificial object,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > creative work > work > cultural artifact > cultural heritage,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > intangible good > goods > goods and services > spatio-temporal entity,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > intangible good > goods > goods and services > product,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > time-based visual work > visual artwork > work of art > creative work,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
1021415,A simple game generator for creating audio/tactile games,Computer game,video game,Q7889,,audiovisual work > time-based visual work > visual artwork > work of art > product,mode_score,mode_score,no,0.0,61.5,Q17155032;Q56055944,type of arts;software category
